,YMD_ID,HH_ID,DAY_CLS,WKDAY_HLDAY_CLS,BUS_ROUTE_ID,GETON_CNT,GETOFF_CNT,STAY_CNT,TEMP,RAIN,WIND,SNOW,covid-19_grade
0,20201219,0,sat,2,30300128,15,60,-45,-3.5,0,1,0,2
1,20201219,5,sat,2,30300128,34,4,30,-6.8,0,0.3,0,2
2,20201219,6,sat,2,30300128,106,76,30,-7.9,0,0.6,0,2
3,20201219,7,sat,2,30300128,199,141,58,-7.6,0,1.2,0,2
4,20201219,8,sat,2,30300128,239,237,2,-8.3,0,0.7,0,2
5,20201219,9,sat,2,30300128,256,244,12,-6.2,0,1.3,0,2
6,20201219,10,sat,2,30300128,275,242,33,-3.9,0,1.6,0,2
7,20201219,11,sat,2,30300128,248,246,2,-2.4,0,1.8,0,2
8,20201219,12,sat,2,30300128,259,252,7,-1.4,0,1.4,0,2
9,20201219,13,sat,2,30300128,301,270,31,-0.2,0,3.8,0,2
10,20201219,14,sat,2,30300128,313,311,2,0.5,0,3.2,0,2
11,20201219,15,sat,2,30300128,325,275,50,0.9,0,2.8,0,2
12,20201219,16,sat,2,30300128,328,323,5,0.1,0,3.5,0,2
13,20201219,17,sat,2,30300128,343,329,14,-1.5,0,1.6,0,2
14,20201219,18,sat,2,30300128,276,314,-38,-2.6,0,1.7,0,2
15,20201219,19,sat,2,30300128,206,223,-17,-3.3,0,0.9,0,2
16,20201219,20,sat,2,30300128,223,173,50,-4.4,0,0.9,0,2
17,20201219,21,sat,2,30300128,247,245,2,-4.2,0,0.7,0,2
18,20201219,22,sat,2,30300128,175,209,-34,-3.3,0,0.9,0,2
19,20201219,23,sat,2,30300128,67,105,-38,-3.2,0,0.5,0,2
20,20211010,0,sun,2,30300128,40,86,-46,21.3,0,1,0,3
21,20211010,5,sun,2,30300128,21,0,21,19.9,0,0.9,0,3
22,20211010,6,sun,2,30300128,69,49,20,19.6,0,0,0,3
23,20211010,7,sun,2,30300128,139,98,41,19.6,0,0.8,0,3
24,20211010,8,sun,2,30300128,240,199,41,20.4,0,0.4,0,3
25,20211010,9,sun,2,30300128,228,223,5,23.3,0,1.3,0,3
26,20211010,10,sun,2,30300128,289,247,42,25.4,0,1.5,0,3
27,20211010,11,sun,2,30300128,292,282,10,26.9,0,2.6,0,3
28,20211010,12,sun,2,30300128,309,252,57,28.4,0,3.1,0,3
29,20211010,13,sun,2,30300128,335,352,-17,28.3,0,1.4,0,3
30,20211010,14,sun,2,30300128,377,328,49,28.2,0,1.6,0,3
31,20211010,15,sun,2,30300128,374,373,1,27.6,0,2,0,3
32,20211010,16,sun,2,30300128,421,369,52,28.8,0,2,0,3
33,20211010,17,sun,2,30300128,437,377,60,27.8,0,1.1,0,3
34,20211010,18,sun,2,30300128,386,459,-73,26.4,0,1.3,0,3
35,20211010,19,sun,2,30300128,312,327,-15,24.9,0,2,0,3
36,20211010,20,sun,2,30300128,276,252,24,23.3,0,1.5,0,3
37,20211010,21,sun,2,30300128,234,238,-4,20.7,2.8,2.3,0,3
