YMD_ID,HH_ID,GETON_CNT
20201219,0,15
20201219,5,34
20201219,6,106
20201219,7,199
20201219,8,239
20201219,9,256
20201219,10,275
20201219,11,248
20201219,12,259
20201219,13,301
20201219,14,313
20201219,15,325
20201219,16,328
20201219,17,343
20201219,18,276
20201219,19,206
20201219,20,223
20201219,21,247
20201219,22,175
20201219,23,67
20211010,0,40
20211010,5,21
20211010,6,69
20211010,7,139
20211010,8,240
20211010,9,228
20211010,10,289
20211010,11,292
20211010,12,309
20211010,13,335
20211010,14,377
20211010,15,374
20211010,16,421
20211010,17,437
20211010,18,386
20211010,19,312
20211010,20,276
20211010,21,234
20211010,22,314
20211010,23,166
20211011,0,32
20211011,5,34
20211011,6,122
20211011,7,201
20211011,8,264
20211011,9,260
20211011,10,294
20211011,11,276
20211011,12,300
20211011,13,411
20211011,14,459
20211011,15,494
20211011,16,480
20211011,17,539
20211011,18,470
20211011,19,443
20211011,20,424
20211011,21,348
20211011,22,288
20211011,23,202
20211012,0,27
20211012,5,76
20211012,6,509
20211012,7,1083
20211012,8,919
20211012,9,475
20211012,10,350
20211012,11,329
20211012,12,354
20211012,13,402
20211012,14,426
20211012,15,559
20211012,16,643
20211012,17,854
20211012,18,981
20211012,19,534
20211012,20,449
20211012,21,468
20211012,22,469
20211012,23,214
20211013,0,39
20211013,1,0
20211013,5,58
20211013,6,433
20211013,7,982
20211013,8,919
20211013,9,532
20211013,10,321
20211013,11,432
20211013,12,373
20211013,13,440
20211013,14,436
20211013,15,592
20211013,16,725
20211013,17,914
20211013,18,1079
20211013,19,606
20211013,20,474
20211013,21,417
20211013,22,505
20211013,23,290
20211014,0,38
20211014,1,0
20211014,5,56
20211014,6,464
20211014,7,1053
20211014,8,825
20211014,9,508
20211014,10,389
20211014,11,419
20211014,12,380
20211014,13,456
20211014,14,398
20211014,15,592
20211014,16,609
20211014,17,853
20211014,18,1037
20211014,19,598
20211014,20,490
20211014,21,509
20211014,22,521
20211014,23,268
20211015,0,49
20211015,1,0
20211015,5,51
20211015,6,435
20211015,7,949
20211015,8,877
20211015,9,544
20211015,10,378
20211015,11,406
20211015,12,458
20211015,13,424
20211015,14,601
20211015,15,721
20211015,16,895
20211015,17,1099
20211015,18,1124
20211015,19,755
20211015,20,520
20211015,21,420
20211015,22,483
20211015,23,217
20211016,0,60
20211016,1,0
20211016,5,36
20211016,6,176
20211016,7,265
20211016,8,370
20211016,9,402
20211016,10,385
20211016,11,432
20211016,12,402
20211016,13,392
20211016,14,475
20211016,15,444
20211016,16,452
20211016,17,531
20211016,18,401
20211016,19,293
20211016,20,291
20211016,21,318
20211016,22,347
20211016,23,211
20211017,0,40
20211017,5,20
20211017,6,80
20211017,7,118
20211017,8,197
20211017,9,245
20211017,10,238
20211017,11,311
20211017,12,244
20211017,13,330
20211017,14,345
20211017,15,375
20211017,16,427
20211017,17,421
20211017,18,426
20211017,19,385
20211017,20,382
20211017,21,319
20211017,22,280
20211017,23,165
20211018,0,22
20211018,1,0
20211018,5,65
20211018,6,534
20211018,7,1071
20211018,8,871
20211018,9,488
20211018,10,373
20211018,11,395
20211018,12,354
20211018,13,383
20211018,14,436
20211018,15,607
20211018,16,611
20211018,17,813
20211018,18,1033
20211018,19,614
