YMD_ID,HH_ID,GETOFF_CNT
20201219,0,60
20201219,5,4
20201219,6,76
20201219,7,141
20201219,8,237
20201219,9,244
20201219,10,242
20201219,11,246
20201219,12,252
20201219,13,270
20201219,14,311
20201219,15,275
20201219,16,323
20201219,17,329
20201219,18,314
20201219,19,223
20201219,20,173
20201219,21,245
20201219,22,209
20201219,23,105
20211010,0,86
20211010,5,0
20211010,6,49
20211010,7,98
20211010,8,199
20211010,9,223
20211010,10,247
20211010,11,282
20211010,12,252
20211010,13,352
20211010,14,328
20211010,15,373
20211010,16,369
20211010,17,377
20211010,18,459
20211010,19,327
20211010,20,252
20211010,21,238
20211010,22,307
20211010,23,220
20211011,0,77
20211011,5,1
20211011,6,92
20211011,7,157
20211011,8,233
20211011,9,253
20211011,10,254
20211011,11,277
20211011,12,287
20211011,13,342
20211011,14,384
20211011,15,477
20211011,16,495
20211011,17,444
20211011,18,515
20211011,19,455
20211011,20,406
20211011,21,360
20211011,22,331
20211011,23,237
20211012,0,97
20211012,5,1
20211012,6,281
20211012,7,774
20211012,8,1202
20211012,9,602
20211012,10,360
20211012,11,277
20211012,12,356
20211012,13,359
20211012,14,416
20211012,15,455
20211012,16,620
20211012,17,734
20211012,18,940
20211012,19,695
20211012,20,461
20211012,21,424
20211012,22,482
20211012,23,306
20211013,0,99
20211013,1,8
20211013,5,1
20211013,6,206
20211013,7,692
20211013,8,1160
20211013,9,640
20211013,10,333
20211013,11,335
20211013,12,409
20211013,13,420
20211013,14,395
20211013,15,478
20211013,16,676
20211013,17,736
20211013,18,1059
20211013,19,822
20211013,20,483
20211013,21,453
20211013,22,451
20211013,23,361
20211014,0,128
20211014,1,7
20211014,5,3
20211014,6,190
20211014,7,783
20211014,8,1089
20211014,9,617
20211014,10,387
20211014,11,368
20211014,12,418
20211014,13,398
20211014,14,374
20211014,15,457
20211014,16,602
20211014,17,662
20211014,18,1037
20211014,19,774
20211014,20,484
20211014,21,479
20211014,22,522
20211014,23,359
20211015,0,130
20211015,1,7
20211015,5,2
20211015,6,225
20211015,7,632
20211015,8,1149
20211015,9,634
20211015,10,352
20211015,11,366
20211015,12,417
20211015,13,406
20211015,14,469
20211015,15,647
20211015,16,800
20211015,17,880
20211015,18,1127
20211015,19,951
20211015,20,637
20211015,21,413
20211015,22,458
20211015,23,319
20211016,0,108
20211016,1,13
20211016,5,2
20211016,6,105
20211016,7,213
20211016,8,322
20211016,9,408
20211016,10,348
20211016,11,340
20211016,12,447
20211016,13,376
20211016,14,419
20211016,15,386
20211016,16,475
20211016,17,429
20211016,18,501
20211016,19,283
20211016,20,273
20211016,21,299
20211016,22,321
20211016,23,279
20211017,0,99
20211017,5,0
20211017,6,52
20211017,7,83
20211017,8,165
20211017,9,228
20211017,10,226
20211017,11,268
20211017,12,276
20211017,13,266
20211017,14,349
20211017,15,330
20211017,16,386
20211017,17,370
20211017,18,423
20211017,19,424
