YMD_ID,HH_ID,DAY_CLS,WKDAY_HLDAY_CLS,BUS_ROUTE_ID,GETON_CNT,GETOFF_CNT,STAY_CNT,,,,,
20201219,0,sat,2802,30300128,15,60,-45,,,,,
20201219,5,sat,2802,30300128,34,4,30,,,,,
20201219,6,sat,2802,30300128,106,76,30,,,,,
20201219,7,sat,2802,30300128,199,141,58,,,,,
20201219,8,sat,2802,30300128,239,237,2,,,,,
20201219,9,sat,2802,30300128,256,244,12,,,,,
20201219,10,sat,2802,30300128,275,242,33,,,,,
20201219,11,sat,2802,30300128,248,246,2,,,,,
20201219,12,sat,2802,30300128,259,252,7,,,,,
20201219,13,sat,2802,30300128,301,270,31,,,,,
20201219,14,sat,2802,30300128,313,311,2,,,,,
20201219,15,sat,2802,30300128,325,275,50,,,,,
20201219,16,sat,2802,30300128,328,323,5,,,,,
20201219,17,sat,2802,30300128,343,329,14,,,,,
20201219,18,sat,2802,30300128,276,314,-38,,,,,
20201219,19,sat,2802,30300128,206,223,-17,,,,,
20201219,20,sat,2802,30300128,223,173,50,,,,,
20201219,21,sat,2802,30300128,247,245,2,,,,,
20201219,22,sat,2802,30300128,175,209,-34,,,,,
20201219,23,sat,2802,30300128,67,105,-38,,,,,
20211010,0,sun,2803,30300128,40,86,-46,,,,,
20211010,5,sun,2803,30300128,21,0,21,,,,,
20211010,6,sun,2803,30300128,69,49,20,,,,,
20211010,7,sun,2803,30300128,139,98,41,,,,,
20211010,8,sun,2803,30300128,240,199,41,,,,,
20211010,9,sun,2803,30300128,228,223,5,,,,,
20211010,10,sun,2803,30300128,289,247,42,,,,,
20211010,11,sun,2803,30300128,292,282,10,,,,,
20211010,12,sun,2803,30300128,309,252,57,,,,,
20211010,13,sun,2803,30300128,335,352,-17,,,,,
20211010,14,sun,2803,30300128,377,328,49,,,,,
20211010,15,sun,2803,30300128,374,373,1,,,,,
20211010,16,sun,2803,30300128,421,369,52,,,,,
20211010,17,sun,2803,30300128,437,377,60,,,,,
20211010,18,sun,2803,30300128,386,459,-73,,,,,
20211010,19,sun,2803,30300128,312,327,-15,,,,,
20211010,20,sun,2803,30300128,276,252,24,,,,,
20211010,21,sun,2803,30300128,234,238,-4,,,,,
20211010,22,sun,2803,30300128,314,307,7,,,,,
20211010,23,sun,2803,30300128,166,220,-54,,,,,
20211011,0,mon,2801,30300128,32,77,-45,,,,,
20211011,5,mon,2801,30300128,34,1,33,,,,,
20211011,6,mon,2801,30300128,122,92,30,,,,,
20211011,7,mon,2801,30300128,201,157,44,,,,,
20211011,8,mon,2801,30300128,264,233,31,,,,,
20211011,9,mon,2801,30300128,260,253,7,,,,,
20211011,10,mon,2801,30300128,294,254,40,,,,,
20211011,11,mon,2801,30300128,276,277,-1,,,,,
20211011,12,mon,2801,30300128,300,287,13,,,,,
20211011,13,mon,2801,30300128,411,342,69,,,,,
20211011,14,mon,2801,30300128,459,384,75,,,,,
20211011,15,mon,2801,30300128,494,477,17,,,,,
20211011,16,mon,2801,30300128,480,495,-15,,,,,
20211011,17,mon,2801,30300128,539,444,95,,,,,
20211011,18,mon,2801,30300128,470,515,-45,,,,,
20211011,19,mon,2801,30300128,443,455,-12,,,,,
20211011,20,mon,2801,30300128,424,406,18,,,,,
20211011,21,mon,2801,30300128,348,360,-12,,,,,
20211011,22,mon,2801,30300128,288,331,-43,,,,,
20211011,23,mon,2801,30300128,202,237,-35,,,,,
20211012,0,tue,2801,30300128,27,97,-70,,,,,
20211012,5,tue,2801,30300128,76,1,75,,,,,
20211012,6,tue,2801,30300128,509,281,228,,,,,
20211012,7,tue,2801,30300128,1083,774,309,,,,,
20211012,8,tue,2801,30300128,919,1202,-283,,,,,
20211012,9,tue,2801,30300128,475,602,-127,,,,,
20211012,10,tue,2801,30300128,350,360,-10,,,,,
20211012,11,tue,2801,30300128,329,277,52,,,,,
20211012,12,tue,2801,30300128,354,356,-2,,,,,
20211012,13,tue,2801,30300128,402,359,43,,,,,
20211012,14,tue,2801,30300128,426,416,10,,,,,
20211012,15,tue,2801,30300128,559,455,104,,,,,
20211012,16,tue,2801,30300128,643,620,23,,,,,
20211012,17,tue,2801,30300128,854,734,120,,,,,
20211012,18,tue,2801,30300128,981,940,41,,,,,
20211012,19,tue,2801,30300128,534,695,-161,,,,,
20211012,20,tue,2801,30300128,449,461,-12,,,,,
20211012,21,tue,2801,30300128,468,424,44,,,,,
20211012,22,tue,2801,30300128,469,482,-13,,,,,
20211012,23,tue,2801,30300128,214,306,-92,,,,,
20211013,0,wed,2801,30300128,39,99,-60,,,,,
20211013,1,wed,2801,30300128,0,8,-8,,,,,
20211013,5,wed,2801,30300128,58,1,57,,,,,
20211013,6,wed,2801,30300128,433,206,227,,,,,
20211013,7,wed,2801,30300128,982,692,290,,,,,
20211013,8,wed,2801,30300128,919,1160,-241,,,,,
20211013,9,wed,2801,30300128,532,640,-108,,,,,
20211013,10,wed,2801,30300128,321,333,-12,,,,,
20211013,11,wed,2801,30300128,432,335,97,,,,,
20211013,12,wed,2801,30300128,373,409,-36,,,,,
20211013,13,wed,2801,30300128,440,420,20,,,,,
20211013,14,wed,2801,30300128,436,395,41,,,,,
20211013,15,wed,2801,30300128,592,478,114,,,,,
20211013,16,wed,2801,30300128,725,676,49,,,,,
20211013,17,wed,2801,30300128,914,736,178,,,,,
20211013,18,wed,2801,30300128,1079,1059,20,,,,,
20211013,19,wed,2801,30300128,606,822,-216,,,,,
20211013,20,wed,2801,30300128,474,483,-9,,,,,
20211013,21,wed,2801,30300128,417,453,-36,,,,,
20211013,22,wed,2801,30300128,505,451,54,,,,,
20211013,23,wed,2801,30300128,290,361,-71,,,,,
20211014,0,thu,2801,30300128,38,128,-90,,,,,
20211014,1,thu,2801,30300128,0,7,-7,,,,,
20211014,5,thu,2801,30300128,56,3,53,,,,,
20211014,6,thu,2801,30300128,464,190,274,,,,,
20211014,7,thu,2801,30300128,1053,783,270,,,,,
20211014,8,thu,2801,30300128,825,1089,-264,,,,,
20211014,9,thu,2801,30300128,508,617,-109,,,,,
20211014,10,thu,2801,30300128,389,387,2,,,,,
20211014,11,thu,2801,30300128,419,368,51,,,,,
20211014,12,thu,2801,30300128,380,418,-38,,,,,
20211014,13,thu,2801,30300128,456,398,58,,,,,
20211014,14,thu,2801,30300128,398,374,24,,,,,
20211014,15,thu,2801,30300128,592,457,135,,,,,
20211014,16,thu,2801,30300128,609,602,7,,,,,
20211014,17,thu,2801,30300128,853,662,191,,,,,
20211014,18,thu,2801,30300128,1037,1037,0,,,,,
20211014,19,thu,2801,30300128,598,774,-176,,,,,
20211014,20,thu,2801,30300128,490,484,6,,,,,
20211014,21,thu,2801,30300128,509,479,30,,,,,
20211014,22,thu,2801,30300128,521,522,-1,,,,,
20211014,23,thu,2801,30300128,268,359,-91,,,,,
20211015,0,fri,2801,30300128,49,130,-81,,,,,
20211015,1,fri,2801,30300128,0,7,-7,,,,,
20211015,5,fri,2801,30300128,51,2,49,,,,,
20211015,6,fri,2801,30300128,435,225,210,,,,,
20211015,7,fri,2801,30300128,949,632,317,,,,,
20211015,8,fri,2801,30300128,877,1149,-272,,,,,
20211015,9,fri,2801,30300128,544,634,-90,,,,,
20211015,10,fri,2801,30300128,378,352,26,,,,,
20211015,11,fri,2801,30300128,406,366,40,,,,,
20211015,12,fri,2801,30300128,458,417,41,,,,,
20211015,13,fri,2801,30300128,424,406,18,,,,,
20211015,14,fri,2801,30300128,601,469,132,,,,,
20211015,15,fri,2801,30300128,721,647,74,,,,,
20211015,16,fri,2801,30300128,895,800,95,,,,,
20211015,17,fri,2801,30300128,1099,880,219,,,,,
20211015,18,fri,2801,30300128,1124,1127,-3,,,,,
20211015,19,fri,2801,30300128,755,951,-196,,,,,
20211015,20,fri,2801,30300128,520,637,-117,,,,,
20211015,21,fri,2801,30300128,420,413,7,,,,,
20211015,22,fri,2801,30300128,483,458,25,,,,,
20211015,23,fri,2801,30300128,217,319,-102,,,,,
20211016,0,sat,2802,30300128,60,108,-48,,,,,
20211016,1,sat,2802,30300128,0,13,-13,,,,,
20211016,5,sat,2802,30300128,36,2,34,,,,,
20211016,6,sat,2802,30300128,176,105,71,,,,,
20211016,7,sat,2802,30300128,265,213,52,,,,,
20211016,8,sat,2802,30300128,370,322,48,,,,,
20211016,9,sat,2802,30300128,402,408,-6,,,,,
20211016,10,sat,2802,30300128,385,348,37,,,,,
20211016,11,sat,2802,30300128,432,340,92,,,,,
20211016,12,sat,2802,30300128,402,447,-45,,,,,
20211016,13,sat,2802,30300128,392,376,16,,,,,
20211016,14,sat,2802,30300128,475,419,56,,,,,
20211016,15,sat,2802,30300128,444,386,58,,,,,
20211016,16,sat,2802,30300128,452,475,-23,,,,,
20211016,17,sat,2802,30300128,531,429,102,,,,,
20211016,18,sat,2802,30300128,401,501,-100,,,,,
20211016,19,sat,2802,30300128,293,283,10,,,,,
20211016,20,sat,2802,30300128,291,273,18,,,,,
20211016,21,sat,2802,30300128,318,299,19,,,,,
20211016,22,sat,2802,30300128,347,321,26,,,,,
20211016,23,sat,2802,30300128,211,279,-68,,,,,
20211017,0,sun,2803,30300128,40,99,-59,,,,,
20211017,5,sun,2803,30300128,20,0,20,,,,,
20211017,6,sun,2803,30300128,80,52,28,,,,,
20211017,7,sun,2803,30300128,118,83,35,,,,,
20211017,8,sun,2803,30300128,197,165,32,,,,,
20211017,9,sun,2803,30300128,245,228,17,,,,,
20211017,10,sun,2803,30300128,238,226,12,,,,,
20211017,11,sun,2803,30300128,311,268,43,,,,,
20211017,12,sun,2803,30300128,244,276,-32,,,,,
20211017,13,sun,2803,30300128,330,266,64,,,,,
20211017,14,sun,2803,30300128,345,349,-4,,,,,
20211017,15,sun,2803,30300128,375,330,45,,,,,
20211017,16,sun,2803,30300128,427,386,41,,,,,
20211017,17,sun,2803,30300128,421,370,51,,,,,
20211017,18,sun,2803,30300128,426,423,3,,,,,
20211017,19,sun,2803,30300128,385,424,-39,,,,,
20211017,20,sun,2803,30300128,382,366,16,,,,,
20211017,21,sun,2803,30300128,319,328,-9,,,,,
20211017,22,sun,2803,30300128,280,290,-10,,,,,
20211017,23,sun,2803,30300128,165,217,-52,,,,,
20211018,0,mon,2801,30300128,22,61,-39,,,,,
20211018,1,mon,2801,30300128,0,4,-4,,,,,
20211018,5,mon,2801,30300128,65,3,62,,,,,
20211018,6,mon,2801,30300128,534,224,310,,,,,
20211018,7,mon,2801,30300128,1071,859,212,,,,,
20211018,8,mon,2801,30300128,871,1158,-287,,,,,
20211018,9,mon,2801,30300128,488,571,-83,,,,,
20211018,10,mon,2801,30300128,373,343,30,,,,,
20211018,11,mon,2801,30300128,395,377,18,,,,,
20211018,12,mon,2801,30300128,354,356,-2,,,,,
20211018,13,mon,2801,30300128,383,385,-2,,,,,
20211018,14,mon,2801,30300128,436,376,60,,,,,
20211018,15,mon,2801,30300128,607,506,101,,,,,
20211018,16,mon,2801,30300128,611,584,27,,,,,
20211018,17,mon,2801,30300128,813,668,145,,,,,
20211018,18,mon,2801,30300128,1033,997,36,,,,,
20211018,19,mon,2801,30300128,614,793,-179,,,,,
20211018,20,mon,2801,30300128,424,470,-46,,,,,
20211018,21,mon,2801,30300128,451,418,33,,,,,
20211018,22,mon,2801,30300128,354,390,-36,,,,,
20211018,23,mon,2801,30300128,276,308,-32,,,,,
20211019,0,tue,2801,30300128,47,123,-76,,,,,
20211019,5,tue,2801,30300128,57,5,52,,,,,
20211019,6,tue,2801,30300128,481,188,293,,,,,
20211019,7,tue,2801,30300128,1003,782,221,,,,,
20211019,8,tue,2801,30300128,939,1175,-236,,,,,
