YMD_ID,HH_ID,TEMP,RAIN,WIND,SNOW
20201219,1,-4.1,0,0.5,0
20201219,2,-4.4,0,2.3,0
20201219,3,-5.5,0,1,0
20201219,4,-6,0,1.4,0
20201219,5,-6.8,0,0.3,0
20201219,6,-7.9,0,0.6,0
20201219,7,-7.6,0,1.2,0
20201219,8,-8.3,0,0.7,0
20201219,9,-6.2,0,1.3,0
20201219,10,-3.9,0,1.6,0
20201219,11,-2.4,0,1.8,0
20201219,12,-1.4,0,1.4,0
20201219,13,-0.2,0,3.8,0
20201219,14,0.5,0,3.2,0
20201219,15,0.9,0,2.8,0
20201219,16,0.1,0,3.5,0
20201219,17,-1.5,0,1.6,0
20201219,18,-2.6,0,1.7,0
20201219,19,-3.3,0,0.9,0
20201219,20,-4.4,0,0.9,0
20201219,21,-4.2,0,0.7,0
20201219,22,-3.3,0,0.9,0
20201219,23,-3.2,0,0.5,0
20201220,0,-2.9,0,0.9,0
20201220,1,-2.8,0,1,0
20201220,2,-3.3,0,0.6,0
20201220,3,-4.1,0,0.9,0
20201220,4,-4.9,0,0.8,0
20201220,5,-5.6,0,0.7,0
20201220,6,-6.2,0,1.1,0
20201220,7,-6.6,0,0.7,0
20201220,8,-6.9,0,1.2,0
20201220,9,-6.2,0,0.4,0
20201220,10,-2,0,0.8,0
20201220,11,0.1,0,0.8,0
20201220,12,1.1,0,1.8,0
20201220,13,2.4,0,2.5,0
20201220,14,3.5,0,1.8,0
20201220,15,3.8,0,1.7,0
20201220,16,3.5,0,2.3,0
20201220,17,1.4,0,2.2,0
20201220,18,-0.4,0,1.3,0
20201220,19,-1.3,0,1.1,0
20201220,20,-2,0,1.1,0
20201220,21,-2.9,0,0.6,0
20201220,22,-3.1,0,0.3,0
20201220,23,-3.6,0,0,0
20201221,0,-4,0,1.1,0
20201221,1,-4.6,0,1,0
20201221,2,-4.8,0,0.3,0
20201221,3,-4.1,0,0.9,0
20201221,4,-3.8,0,0.4,0
20201221,5,-3.4,0,0.3,0
20201221,6,-2.8,0,0.6,0
20201221,7,-2.6,0,0.8,0
20201221,8,-2.3,0,0.4,0
20201221,9,-1.7,0,0.8,0
20201221,10,0.2,0,0.4,0
20201221,11,2.7,0,0.7,0
20201221,12,4.4,0,1.1,0
20201221,13,5.1,0,1.6,0
20201221,14,4.7,0,0.9,0
20201221,15,4.6,0,1.6,0
20201221,16,4,0,1.3,0
20201221,17,3.7,0,0.5,0
20201221,18,3.1,0,1.7,0
20201221,19,2.6,0,0.8,0
20201221,20,1.3,0,1.2,0
20201221,21,0.1,0,1.3,0
20201221,22,-0.7,0,1,0
20201221,23,-0.9,0,0.6,0
20201222,0,-0.5,0,0.7,0
20201222,1,-1,0,0.1,0
20201222,2,-1.3,0,0.3,0
20201222,3,-1.5,0,0.5,0
20201222,4,-1.9,0,0.7,0
20201222,5,-2,0,0.5,0
20201222,6,-2.3,0,0.6,0
20201222,7,-2.2,0,0.5,0
20201222,8,-2.8,0,0.3,0
20201222,9,-1.8,0,0.2,0
20201222,10,1.3,0,0.5,0
20201222,11,4.8,0,1.2,0
20201222,12,6.4,0,1.9,0
20201222,13,7.7,0,1.7,0
20201222,14,7.8,0,1.6,0
20201222,15,8.2,0,1.9,0
20201222,16,7.2,0,1,0
